"ANNEX1_GENUS","NCBI_SUB_TAXA","NCBI_TAXONOMY_LINK","INCLUDE_APPROVED_SIGN","EXCLUDE_APPROVED_SIGN"
"Artocarpus","Artocarpus petelotii","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=709060","   ","   "
"Artocarpus","Artocarpus rigidus","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=709061","   ","   "
" ","   Artocarpus rigidus subsp. asperulus","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=2675512","   ","   "
" ","   Artocarpus rigidus subsp. rigidus","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=2675541","   ","   "
"Artocarpus","Artocarpus scortechinii","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=709062","   ","   "
"Artocarpus","Artocarpus sericicarpus","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=709063","   ","   "
"Artocarpus","Artocarpus subrotundifolius","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=709064","   ","   "
"Artocarpus","Artocarpus tamaran","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=709065","   ","   "
"Artocarpus","Artocarpus treculianus","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=709066","   ","   "
"Artocarpus","Artocarpus styracifolius","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=1009334","   ","   "
"Artocarpus","Artocarpus pithecogallus","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=1679377","   ","   "
"Artocarpus","Artocarpus altilis x Artocarpus mariannensis","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=1727130","   ","   "
"Artocarpus","Artocarpus nanchuanensis","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=1745975","   ","   "
"Artocarpus","Artocarpus brevipedunculatus","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=1856016","   ","   "
"Artocarpus","Artocarpus fretessii","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=1856017","   ","   "
"Artocarpus","Artocarpus limpato","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=1856018","   ","   "
"Artocarpus","Artocarpus primackii","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=1856019","   ","   "
"Artocarpus","Artocarpus teysmannii","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=1856020","   ","   "
"Artocarpus","Artocarpus thailandicus","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=1856021","   ","   "
"Artocarpus","Artocarpus altissimus","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=1867279","   ","   "
"Artocarpus","Artocarpus cf. pithecogallus EMG-2016","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=1867282","   ","   "
"Artocarpus","Artocarpus gomezianus","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=1867283","   ","   "
" ","   Artocarpus gomezianus subsp. zeylanicus","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=2675506","   ","   "
" ","   Artocarpus gomezianus subsp. gomezianus","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=2675534","   ","   "
"Artocarpus","Artocarpus nitidus cf. subsp. humilis EMG-2016","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=1867284","   ","   "
"Artocarpus","Artocarpus obtusus","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=1867285","   ","   "
"Artocarpus","Artocarpus rubrovenius","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=1867286","   ","   "
"Artocarpus","Artocarpus tomentosulus","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=1867287","   ","   "
"Artocarpus","Artocarpus xanthocarpus","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=1867288","   ","   "
"Artocarpus","Artocarpus aff. lakoocha EMG-2016","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=1867350","   ","   "
"Artocarpus","Artocarpus hypargyreus","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=1955528","   ","   "
"Artocarpus","Artocarpus integer x Artocarpus heterophyllus","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=2219698","   ","   "
"Artocarpus","Artocarpus nobilis","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=2290778","   ","   "
"Artocarpus","Artocarpus heterophyllus x Artocarpus integer","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=2304666","   ","   "
"Artocarpus","Artocarpus cf. sepicanus SEM-2019","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=2501691","   ","   "
"Artocarpus","unclassified Artocarpus","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=2628735","   ","   "
" ","   Artocarpus sp. TJSW-2011","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=1085126","   ","   "
" ","   Artocarpus sp. A2-005","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=1432450","   ","   "
" ","   Artocarpus sp. J242","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=1679802","   ","   "
" ","   Artocarpus sp. YQL SING-MS-38","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=1867278","   ","   "
" ","   Artocarpus sp. JH-2017","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=2048434","   ","   "
" ","   Artocarpus sp. KR0171","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=2516591","   ","   "
" ","   Artocarpus sp. AA440","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=2675496","   ","   "
" ","   Artocarpus sp. EG 410","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=2675497","   ","   "
" ","   Artocarpus sp. NZ517","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=2675498","   ","   "
" ","   Artocarpus sp. PPI2741","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=2675499","   ","   "
" ","   Artocarpus sp. EMG-2019b","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=2675538","   ","   "
" ","   Artocarpus sp. AC-2020","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=2781242","   ","   "
"Artocarpus","Artocarpus aff. camansi EG 429","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=2675487","   ","   "
"Artocarpus","Artocarpus aff. camansi Havel 15445","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=2675488","   ","   "
"Artocarpus","Artocarpus aff. corneri Fuchs21347","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=2675489","   ","   "
"Artocarpus","Artocarpus aff. dadah AA W882","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=2675490","   ","   "
"Artocarpus","Artocarpus aff. horridus EG 437","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=2675491","   ","   "
"Artocarpus","Artocarpus aff. scortechinii EG 333","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=2675492","   ","   "
"Artocarpus","Artocarpus corneri","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=2675493","   ","   "
"Artocarpus","Artocarpus horridus","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=2675494","   ","   "
"Artocarpus","Artocarpus cf. pinnatisectus PPI2376","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=2675495","   ","   "
"Artocarpus","Artocarpus pinnatisectus","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=2675500","   ","   "
"Artocarpus","Artocarpus melinoxylus","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=2675502","   ","   "
"Artocarpus","Artocarpus gongshanensis","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=2675503","   ","   "
"Artocarpus","Artocarpus albobrunneus","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=2675505","   ","   "
"Artocarpus","Artocarpus jarrettiae","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=2675507","   ","   "
"Artocarpus","Artocarpus longifolius","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=2675508","   ","   "
" ","   Artocarpus longifolius subsp. adpressus","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=2675509","   ","   "
" ","   Artocarpus longifolius subsp. longifolius","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=2675540","   ","   "
"Artocarpus","Artocarpus multifidus","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=2675510","   ","   "
"Artocarpus","Artocarpus reticulatus","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=2675511","   ","   "
"Artocarpus","Artocarpus sarawakensis","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=2675513","   ","   "
"Artocarpus","Artocarpus sumatranus","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=2675514","   ","   "
"Artocarpus","Artocarpus papuanus","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=2675518","   ","   "
"Artocarpus","Artocarpus frutescens","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=2675535","   ","   "
"Artocarpus","Artocarpus bergii","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=2675537","   ","   "
"Beta","Beta corolliflora","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=19767","   ","   "
"Beta","Beta trigyna","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=19769","   ","   "
"Beta","Beta nana","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=45494","   ","   "
"Beta","Beta lomatogona","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=65139","   ","   "
"Beta","Beta vulgaris","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=161934","   ","   "
" ","   Beta vulgaris subsp. vulgaris","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=3555","   ","   "
" ","   Beta vulgaris subsp. maritima","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=350892","   ","   "
" ","   Beta vulgaris subsp. adanensis","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=444111","   ","   "
" ","   Beta vulgaris subsp. cicla","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=1527200","   ","   "
"Beta","Beta macrocarpa","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=343494","   ","   "
