"TREATY_ANNEX1_NAME","GENUS","NCBI_TAXID","NCBI_TAXONOMY_LINK"
"Lolium","Loliinae",640630,"https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=640630"
"Festuca","Loliinae",640630,"https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=640630"
"Dactylis","Dactylidinae",640895,"https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=640895"
"Asparagus","Asparagoideae",703533,"https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=703533"
"Lepidium","Lepidieae",981066,"https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=981066"
"Brassica","Brassiceae",981071,"https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=981071"
"Crambe","Brassiceae",981071,"https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=981071"
"Raphanus","Brassiceae",981071,"https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=981071"
"Sinapis","Brassiceae",981071,"https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=981071"
"Diplotaxis","Brassiceae",981071,"https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=981071"
"Eruca","Brassiceae",981071,"https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=981071"
"Isatis","Isatideae",981098,"https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=981098"
"Camelina","Camelineae",980083,"https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=980083"
"Armoracia","Cardamineae",980193,"https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=980193"
"Barbarea","Cardamineae",980193,"https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=980193"
"Rorippa","Cardamineae",980193,"https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=980193"
"Salsola","Salsoleae",1308840,"https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=1308840"
"Atriplex","Atripliceae",1307774,"https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=1307774"
"Carrot","Daucus sect. Daucus",1873447,"https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=1873447"
"Andropogon","Andropogoninae",1647998,"https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=1647998"
"Agropyron","Hordeinae",1648017,"https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=1648017"
"Sorghum","Sorghinae",1648028,"https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=1648028"
"Tripsacum","Tripsacinae",1648029,"https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=1648029"
"Triticale","Triticeae incertae sedis",1661780,"https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=1661780"
"Citrus","Aurantioideae",1728959,"https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=1728959"
"Oat","unclassified Avena",2631740,"https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=2631740"
